32, 0.0122112
8224, 0.06944
16416, 0.123843
24608, 0.178704
32800, 0.423075
40992, 0.409622
49184, 0.500125
57376, 0.542858
65568, 0.614458
73760, 0.672573
81952, 0.729216
90144, 0.77088
98336, 0.844365
106528, 0.90001
114720, 0.958832
122912, 1.01326
131104, 1.05667
139296, 1.11484
147488, 1.18556
155680, 1.24346
163872, 1.30129
172064, 1.3563
180256, 1.41516
188448, 1.47419
196640, 1.52983
204832, 1.58704
213024, 1.63442
221216, 1.7055
229408, 1.74621
237600, 1.80317
245792, 1.87555
253984, 1.93134
262176, 1.97313
270368, 2.04714
278560, 2.08364
286752, 2.15587
294944, 2.19565
303136, 2.25527
311328, 2.32594
319520, 2.38252
327712, 2.41035
335904, 2.48157
344096, 2.55326
352288, 2.608
360480, 2.73125
368672, 2.72495
376864, 2.76939
385056, 2.83975
393248, 2.89753
401440, 2.9537
409632, 3.0113
417824, 3.07339
426016, 3.19169
434208, 3.18707
442400, 3.24356
450592, 3.30194
458784, 3.50837
466976, 3.40212
475168, 3.45628
483360, 3.53212
491552, 3.70877
499744, 3.64134
507936, 3.77723
516128, 3.75605
524320, 3.81347
532512, 4.02898
540704, 3.9278
548896, 3.98593
557088, 4.04203
565280, 4.09853
573472, 4.1404
581664, 4.18857
589856, 4.26849
598048, 4.31618
606240, 4.38252
614432, 4.43977
622624, 4.57298
630816, 4.54039
639008, 4.61063
647200, 4.66756
655392, 4.72813
663584, 4.76792
671776, 4.82256
679968, 4.90568
688160, 4.95611
696352, 4.96931
704544, 5.06249
712736, 5.27621
720928, 5.17936
729120, 5.38615
737312, 5.2935
745504, 5.34963
753696, 5.39189
761888, 5.46592
770080, 5.52079
778272, 5.55969
786464, 5.61669
794656, 5.6892
802848, 5.74622
811040, 5.79057
819232, 5.86727
827424, 5.9933
835616, 5.97454
843808, 6.01946
852000, 6.09836
860192, 6.31872
868384, 6.43796
876576, 6.26438
884768, 6.3793
892960, 6.36322
901152, 6.43788
909344, 6.49017
917536, 6.53678
925728, 6.60837
933920, 6.6607
942112, 6.71802
950304, 6.76617
958496, 6.88616
966688, 6.87836
974880, 6.94797
983072, 7.07438
991264, 7.04621
999456, 7.19466
1007648, 7.26198
1015840, 7.20245
1024032, 7.28773
1032224, 7.32263
1040416, 7.40086
